question,answer,sources
Какие требования устанавливаются к составу и содержанию документации по удалению затонувшего имущества?," Документация для удаления затонувшего имущества должна содержать описание способа и средств удаления, последовательность действий, требования к безопасности их проведения, а также критерии оценки составу и содержанию.","Кодекс торгового мореплавания Российской Федерации.pdf:page_40, Кодекс торгового мореплавания Российской Федерации.pdf:page_42, Кодекс торгового мореплавания Российской Федерации.pdf:page_43, Кодекс торгового мореплавания Российской Федерации.pdf:page_44, Кодекс торгового мореплавания Российской Федерации.pdf:page_45"
Какие основные показатели оценки офертов на строительство производственных объектов указаны в ГОСТ МДС 80-3.2000?," В ГОСТ МДС 80-3.2000 основные показатели оценки офертов на строительство производственных объектов указываются в следующих разделах:
1. Уровень организации управления процессами подготовки и реализации проектирования, строительства или выполнения комплекса работ.
2. Уровень квалификации рабочих и административно-управленческого персонала.
3. Характеризующие технический уровень средств производства, используемых оферентом.
4. Индексы стоимости (цен, затрат) на строительную продукцию, входящую в объект строительства.
5. Затраты на эксплуатацию машин и зарбаточную плату.
6. Применение вычислительной техники при составлении сметной документации.","Data1_10_10869_index.pdf:page_1, Data1_10_10869_index.pdf:page_2, Data1_2_2076_index.pdf:page_1, Data1_2_2079_index.pdf:page_1, Data1_2_2117_index.pdf:page_1"
Какая сумма привлеченных денежных средств считается особо крупным размером?," Сумма, превышающая за период в пределах трех финансовых лет подряд сорок пять миллионов рублей, признается особо крупным размером.","Уголовный кодекс Российской Федерации.pdf:page_122, Уголовный кодекс Российской Федерации.pdf:page_128, Уголовный кодекс Российской Федерации.pdf:page_129, Уголовный кодекс Российской Федерации.pdf:page_130, Уголовный кодекс Российской Федерации.pdf:page_132"
Какие трассы и сооружения должны быть показаны на схемах инженерных сетей и слаботочных линий согласно ГОСТ МДС 11-7.2000?," На схемах инженерных сетей должны быть показаны трассы для канализации, водостока, дренажа, газопровода, водопровода, теплосети, телефонных сетей и силовых кабельных сетей.","Data1_10_10865_index.pdf:page_13, Data1_11_11285_index.pdf:page_64, Data1_1_1904_index.pdf:page_19, Data1_1_1904_index.pdf:page_21, Data1_1_1904_index.pdf:page_9"
Что влечет наложение административного штрафа на должностных лиц за нарушение порядка предоставления обеспечения исполнения обязательств по оплате энергоресурсов?, Наложение административного штрафа на должностных лиц в размере от 20 тысяч до 30 тысяч рублей за нарушение установленного порядка предоставления обеспечения исполнения обязательств по оплате электрической энергии (мощности) - статья 14.61 Кодекса РФ об административных правонарушениях.,"Административный кодекс Российской Федерации.pdf:page_103, Административный кодекс Российской Федерации.pdf:page_104, Административный кодекс Российской Федерации.pdf:page_222, Административный кодекс Российской Федерации.pdf:page_301, Административный кодекс Российской Федерации.pdf:page_317"
Какие требования предъявляются к прочности закрепленных грунтов при однорастворной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты согласно ГОСТ (к СНиП 3.02.01-83)?," Модуль для закрепленных грунтов при однорастворной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты должен находиться в пределах 2,7 - 3 г/см². Плотность должна быть в пределах 1,2 - 1,45 г/см³ при закреплении песчаных грунтов и 1,13 - 1,2 г/см³ при закреплении просадочных грунтов согласно ГОСТ (к СНиП 3.02.01-83).","Data1_11_11295_index.pdf:page_12, Data1_11_11295_index.pdf:page_25, Data1_11_11295_index.pdf:page_26, Data1_11_11295_index.pdf:page_6, Data1_11_11295_index.pdf:page_8"
"Какова цель технического обслуживания и текущего ремонта зданий и сооружений, согласно статье 55.24, раздел 8?"," Целью технического обслуживания и текущего ремонта зданий и сооружений, согласно статье 55.24 раздел 8, является поддержание или восстановление первоначальных эксплуатационных качеств как здания и сооружения в целом, так и их отдельных конструкций.","Data1_1_1879_index.pdf:page_13, Data1_1_1879_index.pdf:page_2, Data1_1_1879_index.pdf:page_6, Градостроительный кодекс Российской Федерации.pdf:page_232, Градостроительный кодекс Российской Федерации.pdf:page_235"
Что происходит с потерями бюджета в связи с получением средств ниже расчетного объема дотации?," В случае поступления дотаций меньше расчетного объема, возникают бюджетные дефициты в получающих их муниципальных образованиях. Это может приводить к недостаточной финансовой поддержке определенных программ или проектов, затраты на которые предусмотрены в бюджетах. Требуется отслеживание и корректировка расчета дотаций для их увеличения или решения других финансовых вопросов.","Data1_10_10870_index.pdf:page_6, Бюджетный кодекс Российской Федерации.pdf:page_207, Бюджетный кодекс Российской Федерации.pdf:page_208, Бюджетный кодекс Российской Федерации.pdf:page_211, Бюджетный кодекс Российской Федерации.pdf:page_212"
Какое решение выносится по результатам рассмотрения материалов камеральной налоговой проверки?," Решение выносится в соответствии с пунктом 7 статьи, предусмотренных настоящей статьи (статья 231 Кодекса РФ о налогах и сборах).","Налоговый кодекс Российской Федерации.pdf:page_255, Налоговый кодекс Российской Федерации.pdf:page_256, Налоговый кодекс Российской Федерации.pdf:page_706, Налоговый кодекс Российской Федерации.pdf:page_712, Налоговый кодекс Российской Федерации.pdf:page_863"
"Подлежат ли вычету суммы акциза, исчисленные по истечении 180 календарных дней с даты выпуска товаров в Калининградской области?"," Да, суммы акциза в Калининградской области подлежат вычету при истечении 180 календарных дней с даты выпуска товаров.","Налоговый кодекс Российской Федерации.pdf:page_479, Налоговый кодекс Российской Федерации.pdf:page_480, Налоговый кодекс Российской Федерации.pdf:page_514, Налоговый кодекс Российской Федерации.pdf:page_525, Налоговый кодекс Российской Федерации.pdf:page_672"
"Что означает ""особыми условиями"" в контексте сдачи в аренду земельных участков и других обособленных природных объектов?"," В контексте сдачи в аренду земельных участков и других обособленных природных объектов, особыми условиями могут быть установлены дополнительные ограничения или требования к использованию или защите объекта. Например, это может включать ограничения на разрешенные виды деятельности, охранные зоны или специальные заповедные территории.","Гражданский кодекс Российской Федерации.pdf:page_284, Земельный кодекс Российской Федерации.pdf:page_185, Земельный кодекс Российской Федерации.pdf:page_186, Земельный кодекс Российской Федерации.pdf:page_189, Земельный кодекс Российской Федерации.pdf:page_195"
Какие основные положения генеральной схемы расселения учитываются на последующих стадиях градостроительного проектирования? (ГОСТ МДС 11-7.2000), Основные положения генеральной схемы расселения учитываются на последующих стадиях градостроительного проектирования всеми участниками градостроительной деятельности в границах проектируемого региона.,"Data1_1_1904_index.pdf:page_1, Data1_1_1904_index.pdf:page_5, Data1_1_1904_index.pdf:page_6, Data1_1_1904_index.pdf:page_7, Data1_1_1904_index.pdf:page_9"
Какие меры наказания за нарушение соглашения о недопущении конкуренции указаны в ГОСТ МДС 80-2.2000?," В ГОСТ МДС 80-2.2000 не указываются меры наказания за нарушение соглашения о недопущении конкуренции. Это документ предоставляет общие положения по организации внутренней конкуренции в проектной организации и рассматривает методы содействия развитию конкуренции, но не регламентирует наказания за их нарушение.","Data1_10_10872_index.pdf:page_1, Data1_10_10872_index.pdf:page_5, Data1_10_10872_index.pdf:page_8, Data1_10_10872_index.pdf:page_9, Административный кодекс Российской Федерации.pdf:page_255"
"Какие органы имеют право рассматривать дела об административных правонарушениях, предусмотренных статьей 15.12.1 КоАП РФ?"," Для рассмотрения дел об административных правонарушений, предусмотренных статьёй 15.12.1 КоАП РФ, право имеют органы исполнительной власти субъектов Российской Федерации, указанные в пунктах 1 - 9 и 13 части 2 статьи 23.79.2 КоАП РФ.","Административный кодекс Российской Федерации.pdf:page_464, Административный кодекс Российской Федерации.pdf:page_466, Административный кодекс Российской Федерации.pdf:page_494, Административный кодекс Российской Федерации.pdf:page_500, Административный кодекс Российской Федерации.pdf:page_504"
"Какие требования к стальным конструкциям установлены СНиП II-23-81*, изд. 1990 г.?"," Стальные конструкции должны соответствовать требованиям СНиП II-23-81, изд. 1990 г. с коэффициентом условий работы при расчете на прочность равным 1,1 (разд. 4) и при определении величины расчетной нагрузки от снега по формуле (12), где коэффициент μ0 для зенитных фонарей зданий в районах с v ≥ 4 м/с равен 0,85. При этом, коэффициент не распространяется на фонари, защищенные от прямого воздействия ветра соседними зданиями и сооружениями, удаленными менее чем на 10 Н.","Data1_10_10846_index.pdf:page_16, Data1_10_10846_index.pdf:page_3, Data1_10_10861_index.pdf:page_15, Data1_10_10861_index.pdf:page_17, Data1_10_10861_index.pdf:page_25"
Какое максимальное число баллов по показателю 'цена' рекомендуется устанавливать согласно ГОСТ МДС 80-3.2000?," По данным ГОСТа МДС 80-3.2000, максимальное число баллов по показателю «цена» рекомендуется установить в размере до 800 баллов.","Data1_10_10754_index.pdf:page_3, Data1_10_10869_index.pdf:page_1, Data1_10_10869_index.pdf:page_4, Data1_10_10869_index.pdf:page_5, Data1_2_2117_index.pdf:page_1"
