question,answer,sources
Какие требования устанавливаются к составу и содержанию документации по удалению затонувшего имущества?,"В предоставленных фрагментах указано, что документация по удалению затонувшего имущества должна содержать:
- описание способа и средств удаления затонувшего имущества;
- последовательность действий;
- требования к безопасности их проведения.

Про требования к составу и содержанию документации (кроме перечисленного) в фрагментах сказано только: «Требования к составу и содержанию документации…», но конкретика отсутствует.","Кодекс торгового мореплавания Российской Федерации.pdf:page_40, Кодекс торгового мореплавания Российской Федерации.pdf:page_42, Кодекс торгового мореплавания Российской Федерации.pdf:page_43, Кодекс торгового мореплавания Российской Федерации.pdf:page_44, Кодекс торгового мореплавания Российской Федерации.pdf:page_45"
Какие основные показатели оценки офертов на строительство производственных объектов указаны в ГОСТ МДС 80-3.2000?,"В приведённом фрагменте ГОССТРОЙ РОССИИ МДС 80-3.2000 перечисляются основные группы показателей оценки офертов, а именно показатели:

- **по организационному уровню и условиям выполнения работ** (в т.ч. уровень соблюдения требований по охране труда и здоровья, пожарной безопасности, предотвращению загрязнения воздуха, поверхности земли и подземных вод и др.);
- **характеризующие уровень организации оферентом управления** процессами подготовки и реализации проектирования, строительства или выполнения комплекса работ, включая уровень квалификации рабочих и административно-управленческого персонала, применение современных методов управления, автоматизированных систем обработки информации, обеспечение сбалансированности графиков производства работ, прогрессивную структуру руководства, привлечение высококвалифицированных специалистов и др.;
- **характеризующие технический уровень средств производства**, используемых оферентом (качественный уровень машин, механизмов, технологических пр...).","Data1_10_10869_index.pdf:page_1, Data1_10_10869_index.pdf:page_2, Data1_2_2076_index.pdf:page_1, Data1_2_2079_index.pdf:page_1, Data1_2_2117_index.pdf:page_1"
Какая сумма привлеченных денежных средств считается особо крупным размером?,нет в документах,"Уголовный кодекс Российской Федерации.pdf:page_122, Уголовный кодекс Российской Федерации.pdf:page_128, Уголовный кодекс Российской Федерации.pdf:page_129, Уголовный кодекс Российской Федерации.pdf:page_130, Уголовный кодекс Российской Федерации.pdf:page_132"
Какие трассы и сооружения должны быть показаны на схемах инженерных сетей и слаботочных линий согласно ГОСТ МДС 11-7.2000?,"В предоставленных фрагментах ГОСТ МДС 11-7.2000 указано, что при съемке подлежат показу (и, соответственно, должны быть отображены на схемах) следующие трассы и сооружения:

- **По канализации, водостоку, дренажу**: оси трасс, колодцы, углы поворота, изломы сетей в профиле, места присоединений и выпусков.  
- **По газопроводу**: оси трассы, углы поворота, камеры, места подключений, вводы, изломы в профиле.  
- **По водопроводу**: ось трассы, колодцы, вводы, аварийные выпуски, артезианские скважины.  
- **По теплосети**: ось трассы, камеры, углы поворота, компенсаторы, места подключений, вводы.  
- **По телефонным сетям (слаботочные линии)**: ось трассы, колодцы, распределительные шкафы, места ввода и подключений.  
- **По силовым кабельным сетям**: ось трассы кабелей (независимо от способа укладки), колодцы, тоннели и коллекторы, трансформаторные подстанции, киоски.  

Других требований именно для “схем инженерных сетей и слаботочных линий” в приведенном контексте нет.","Data1_10_10865_index.pdf:page_13, Data1_11_11285_index.pdf:page_64, Data1_1_1904_index.pdf:page_19, Data1_1_1904_index.pdf:page_21, Data1_1_1904_index.pdf:page_9"
Что влечет наложение административного штрафа на должностных лиц за нарушение порядка предоставления обеспечения исполнения обязательств по оплате энергоресурсов?,Влечет наложение административного штрафа на должностных лиц в размере от двадцати тысяч до тридцати тысяч рублей.,"Административный кодекс Российской Федерации.pdf:page_103, Административный кодекс Российской Федерации.pdf:page_104, Административный кодекс Российской Федерации.pdf:page_222, Административный кодекс Российской Федерации.pdf:page_301, Административный кодекс Российской Федерации.pdf:page_317"
Какие требования предъявляются к прочности закрепленных грунтов при однорастворной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты согласно ГОСТ (к СНиП 3.02.01-83)?,нет в документах,"Data1_11_11295_index.pdf:page_12, Data1_11_11295_index.pdf:page_25, Data1_11_11295_index.pdf:page_26, Data1_11_11295_index.pdf:page_6, Data1_11_11295_index.pdf:page_8"
"Какова цель технического обслуживания и текущего ремонта зданий и сооружений, согласно статье 55.24, раздел 8?",нет в документах,"Data1_1_1879_index.pdf:page_13, Data1_1_1879_index.pdf:page_2, Data1_1_1879_index.pdf:page_6, Градостроительный кодекс Российской Федерации.pdf:page_232, Градостроительный кодекс Российской Федерации.pdf:page_235"
Что происходит с потерями бюджета в связи с получением средств ниже расчетного объема дотации?,нет в документах,"Data1_10_10870_index.pdf:page_6, Бюджетный кодекс Российской Федерации.pdf:page_207, Бюджетный кодекс Российской Федерации.pdf:page_208, Бюджетный кодекс Российской Федерации.pdf:page_211, Бюджетный кодекс Российской Федерации.pdf:page_212"
Какое решение выносится по результатам рассмотрения материалов камеральной налоговой проверки?,нет в документах,"Налоговый кодекс Российской Федерации.pdf:page_255, Налоговый кодекс Российской Федерации.pdf:page_256, Налоговый кодекс Российской Федерации.pdf:page_706, Налоговый кодекс Российской Федерации.pdf:page_712, Налоговый кодекс Российской Федерации.pdf:page_863"
"Подлежат ли вычету суммы акциза, исчисленные по истечении 180 календарных дней с даты выпуска товаров в Калининградской области?","Да, подлежат.

В документах указано, что вычетам подлежат суммы налога (в том числе при ввозе в таможенных процедурах выпуска для внутреннего потребления), а также суммы налога, **уплаченные или подлежащие уплате налогоплательщиком по истечении 180 календарных дней с даты выпуска товаров**. Также отдельно указано: **вычетам подлежат умноженные на коэффициент суммы акциза**, исчисленные при определенных операциях, **при представлении документов**, предусмотренных соответствующим пунктом. При этом документы подаются в налоговый орган **не позднее 180 календарных дней** с подтверждающих дат.","Налоговый кодекс Российской Федерации.pdf:page_479, Налоговый кодекс Российской Федерации.pdf:page_480, Налоговый кодекс Российской Федерации.pdf:page_514, Налоговый кодекс Российской Федерации.pdf:page_525, Налоговый кодекс Российской Федерации.pdf:page_672"
