question,answer,source,page
Какие требования устанавливаются к составу и содержанию документации по удалению затонувшего имущества?,"Требования к составу и содержанию документации по удалению затонувшего имущества, 
а также критерии оценки такой документации устанавливаются федеральным органом 
исполнительной власти в области транспорта по согласованию с федеральным органом 
исполнительной власти, осуществляющим функции по выработке государственной политики и 
нормативно-правовому регулированию в сфере изучения, использования, воспроизводства и 
охраны природных ресурсов.",Кодекс торгового мореплавания Российской Федерации.pdf,45
Какие основные показатели оценки офертов на строительство производственных объектов указаны в ГОСТ МДС 80-3.2000?,"В состав показателей для оценки коммерческой части оферт могут входить:
предложенная оферентом цена, предмета подрядных торгов (осуществления
строительства, выполнения комплекса работ, оказания услуг, поставки продукции) с
указанием, в какой валюте и на каком уровне (в ценах какого периода) рассчитана
предложенная цена;
предложенный оферентом метод учета при осуществлении расчетов за
выполненные работы последующих изменений уровня цен в связи с инфляцией,
изменением законодательства в области налоговой политики и по другим вопросам;
предложения оферента по условиям и порядку финансирования и кредитования
подрядных работ;
удельные стоимостные показатели по предмету торгов, если торг проводятся на
проектирование объекта или на проектирование и строительство объектов «под
ключ».",Data1_10_10869_index.pdf,2
Какая сумма привлеченных денежных средств считается особо крупным размером?,"Деяния, предусмотренные настоящей статьей, признаются совершенными в крупном 
размере, если сумма привлеченных денежных средств (сделки с денежными средствами) превышает три 
миллиона рублей, в особо крупном размере - пять миллионов рублей.",Уголовный кодекс Российской Федерации.pdf,132
Какие трассы и сооружения должны быть показаны на схемах инженерных сетей и слаботочных линий согласно ГОСТ МДС 11-7.2000?,"На схемах инженерных сетей и слаботочных линий должны быть показаны
трассы 
водоснабжения, 
канализации, 
ливневой 
канализации, 
теплоснабжения,
газоснабжения, электроснабжения, наружного освещения, телефонизации, радиофикации и
телевидения с их основными параметрами, размещение сооружений инженерного
оборудования и дренажная сеть, а также места подключения коммуникаций к
внеплощадочным сетям и сооружениям.",Data1_1_1904_index.pdf,21
Что влечет наложение административного штрафа на должностных лиц за нарушение порядка предоставления обеспечения исполнения обязательств по оплате энергоресурсов?,"Нарушение установленного порядка предоставления обеспечения исполнения 
обязательств по оплате электрической энергии (мощности), газа, тепловой энергии 
(мощности) и (или) теплоносителя, сопряженное с неисполнением (ненадлежащим 
исполнением) обязательств по их оплате 
Нарушение потребителем электрической энергии, ограничение режима потребления электрической 
энергии которого может привести к экономическим, экологическим или социальным последствиям, 
потребителем газа, потребителем тепловой энергии либо теплоснабжающей организацией установленного 
законодательством порядка предоставления обеспечения исполнения обязательств по оплате 
электрической энергии (мощности), газа, тепловой энергии (мощности) и (или) теплоносителя, 
сопряженное с неисполнением (ненадлежащим исполнением) обязательств по их оплате в соответствии с 
установленными договорами о предоставлении указанных энергетических ресурсов сроками платежей, - 
влечет наложение административного штрафа на должностных лиц в размере от сорока тысяч до ста тысяч 
рублей или дисквалификацию на срок от двух до трех лет; на юридических лиц - от ста тысяч до трехсот 
тысяч рублей.",Административный кодекс Российской Федерации.pdf,301
Какие требования предъявляются к прочности закрепленных грунтов при однорастворной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты согласно ГОСТ (к СНиП 3.02.01-83)?,"Наименование способов и исходных
реагентов
Реакция среды
закрепляющих
реагентов
Область применения
Экстремальные и средние
значения прочности при
одноосном сжатии, МПа
Номенклатура и некоторые
характеристики грунтов
Коэффициент
фильтрации
грунтов, м/сут
Однорастворная 
двухкомпонентная
силикатизация на основе раствора силиката
натрия и ортофосфорной кислоты
Кислая
Пески средней крупности, мелкие и
пылеватые
0,5 - 10
(0,2 - 0,5)/0,35
Однорастворная 
двухкомпонентная
силикатизация на основе раствора силиката
натрия и алюмината натрия
Щелочная
Пески средней крупности, мелкие и
пылеватые, 
в 
том 
числе
карбонатные
0,5 - 10
(0,2 - 0,3)/0,25
Однорастворная 
двухкомпонентная
смолизация 
на 
основе 
растворов
карбамидных смол марок М, М-2, М-3,
МФ-17 и соляной кислоты
Кислая
Пески всех видов - от гравелистых
до пылеватых, кроме карбонатных
0,5 - 50
(2 - 8)/5
Однорастворная 
двухкомпонентная
смолизация 
на 
основе 
растворов
карбамидных смол марок М, М-2, М-3 и
МФ-17 и щавелевой кислоты
»
Пески всех видов - от гравелистых
до 
пылеватых, 
в 
том 
числе
некоторые карбонатные, согласно
результатам 
специальных
исследований
0,5 - 50
(2 - 8)/5
Цементация
Щелочная
Пустоты, полости в грунтах всех
видов.",Data1_11_11295_index.pdf,5
"Какова цель технического обслуживания и текущего ремонта зданий и сооружений, согласно статье 55.24, раздел 8?","ПРОИЗВОДСТВЕННЫЕ ПОМЕЩЕНИЯ ПРЕДПРИЯТИЙ БЫТОВОГО ОБСЛУЖИВАНИЯ
А. Станции технического обслуживания автотранспорта, транспортные предприятия, депо, стоянки
1
Участки мойки и уборки подвижного состава
VI
2
Участки диагностирования
III-IV
3
Участки технического обслуживания и текущего ремонта
IV-V
4
Агрегатные участки
III-IV
5
Участки монтажа и ремонта автомобильных шин, кузнечный, сварочно-жестяночный, кузовной
участки
IV
6
Окрасочный участок
III
7
Слесарно-механический участок
II
Б. Электропомещения
8
Помещения распределительных устройств, диспетчерские, операторные, электрощитовые,
электромашинные с постоянным дежурством персонала
IV
В. Помещения инженерных сетей и прочие технические помещения
9
Машинные залы насосных, генераторные с постоянным дежурством персонала
VIII
10
Компрессорные (блоки, станции, помещения, залы) с постоянным дежурством персонала
IV
11
Помещения приготовления реагентов, углевальная, фтораторная, хлордозаторная, аммонизаторная,
озонаторная, фильтровальные
VIII
12
Помещения вакуум-фильтров, центрифуг, фильтр-прессов, помещения сушки осадка
VI
13
Электролизерная
VIII
Г. Склады
14
Экспедиция приема и выдачи груза
IV
Д. Пожарные депо
15
Зона стоянки технического состава
VIII
16
Пост технического обслуживания
V
17
Аппаратная, пункт связи
III
П р и м е ч а н и е  - Нормирование значений КЕО принимается, как правило, в горизонтальной плоскости, расположенной на
уровне рабочей поверхности (у.р.п) 0,8 м от пола; для основных помещений жилых домов, детских дошкольных учреждений,
помещений для спортивных соревнований, мойки транспорта у.р.п принимается на отметке 0,0, в первой группе административных
районов для жилых комнат и кухонь - на отм.",Data1_10_10846_index.pdf,32
Что происходит с потерями бюджета в связи с получением средств ниже расчетного объема дотации?,"Потери бюджета городского, сельского поселения, внутригородского района в связи с 
получением средств по дополнительному нормативу отчислений от налога на доходы физических 
лиц ниже расчетного объема дотации на выравнивание бюджетной обеспеченности поселений 
(внутригородских районов) (части расчетного объема дотации) компенсации из бюджета субъекта 
Российской Федерации и (или) учету при последующем распределении межбюджетных 
трансфертов местным бюджетам не подлежат.",Бюджетный кодекс Российской Федерации.pdf,211
Какое решение выносится по результатам рассмотрения материалов камеральной налоговой проверки?,"По результатам рассмотрения материалов камеральной налоговой проверки руководитель (заместитель 
руководителя) налогового органа выносит решение о привлечении налогоплательщика к ответственности за 
совершение налогового правонарушения либо об отказе в привлечении налогоплательщика к 
ответственности за совершение налогового правонарушения.",Налоговый кодекс Российской Федерации.pdf,541
"Подлежат ли вычету суммы акциза, исчисленные по истечении 180 календарных дней с даты выпуска товаров в Калининградской области?","Вычетам подлежат суммы акциза, исчисленные по истечении 180 календарных дней с даты выпуска 
товаров в соответствии с таможенной процедурой выпуска для внутреннего потребления при завершении 
действия таможенной процедуры свободной таможенной зоны на территории Особой экономической зоны 
в Калининградской области после использования этих товаров для осуществления операций, признаваемых 
объектами налогообложения и подлежащих налогообложению в соответствии с настоящей главой.",Налоговый кодекс Российской Федерации.pdf,672
