question,answer,source,page
Какие требования устанавливаются к составу и содержанию документации по удалению затонувшего имущества?,"Требования к составу и содержанию документации по удалению затонувшего имущества, 
а также критерии оценки такой документации устанавливаются федеральным органом 
исполнительной власти в области транспорта по согласованию с федеральным органом 
исполнительной власти, осуществляющим функции по выработке государственной политики и 
нормативно-правовому регулированию в сфере изучения, использования, воспроизводства и 
охраны природных ресурсов.",Кодекс торгового мореплавания Российской Федерации.pdf,45
Какие основные показатели оценки офертов на строительство производственных объектов указаны в ГОСТ МДС 80-3.2000?,"ОСНОВНЫЕ РЕКОМЕНДАЦИИ ПО ОРГАНИЗАЦИИ РАЗРАБОТКИ УПБС ОБЪЕКТОВ
ПРОИЗВОДСТВЕННОГО СТРОИТЕЛЬСТВА
3.1.",Data1_2_2081_index.pdf,6
Какая сумма привлеченных денежных средств считается особо крупным размером?,"Деяния, предусмотренные настоящей статьей, признаются совершенными в крупном 
размере, если сумма привлеченных денежных средств (сделки с денежными средствами) превышает три 
миллиона рублей, в особо крупном размере - пять миллионов рублей.",Уголовный кодекс Российской Федерации.pdf,132
Какие трассы и сооружения должны быть показаны на схемах инженерных сетей и слаботочных линий согласно ГОСТ МДС 11-7.2000?,"На схемах инженерных сетей и слаботочных линий должны быть показаны
трассы 
водоснабжения, 
канализации, 
ливневой 
канализации, 
теплоснабжения,
газоснабжения, электроснабжения, наружного освещения, телефонизации, радиофикации и
телевидения с их основными параметрами, размещение сооружений инженерного
оборудования и дренажная сеть, а также места подключения коммуникаций к
внеплощадочным сетям и сооружениям.",Data1_1_1904_index.pdf,21
Что влечет наложение административного штрафа на должностных лиц за нарушение порядка предоставления обеспечения исполнения обязательств по оплате энергоресурсов?,"Нарушение установленного порядка предоставления обеспечения исполнения 
обязательств по оплате электрической энергии (мощности), газа, тепловой энергии 
(мощности) и (или) теплоносителя, сопряженное с неисполнением (ненадлежащим 
исполнением) обязательств по их оплате 
Нарушение потребителем электрической энергии, ограничение режима потребления электрической 
энергии которого может привести к экономическим, экологическим или социальным последствиям, 
потребителем газа, потребителем тепловой энергии либо теплоснабжающей организацией установленного 
законодательством порядка предоставления обеспечения исполнения обязательств по оплате 
электрической энергии (мощности), газа, тепловой энергии (мощности) и (или) теплоносителя, 
сопряженное с неисполнением (ненадлежащим исполнением) обязательств по их оплате в соответствии с 
установленными договорами о предоставлении указанных энергетических ресурсов сроками платежей, - 
влечет наложение административного штрафа на должностных лиц в размере от сорока тысяч до ста тысяч 
рублей или дисквалификацию на срок от двух до трех лет; на юридических лиц - от ста тысяч до трехсот 
тысяч рублей.",Административный кодекс Российской Федерации.pdf,301
Какие требования предъявляются к прочности закрепленных грунтов при однорастворной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты согласно ГОСТ (к СНиП 3.02.01-83)?,Согласно главе СНиП 3.02.01-83 (разд.,Data1_11_11295_index.pdf,25
"Какова цель технического обслуживания и текущего ремонта зданий и сооружений, согласно статье 55.24, раздел 8?","Эксплуатация зданий, сооружений 
 
Статья 55.24.",Градостроительный кодекс Российской Федерации.pdf,232
Что происходит с потерями бюджета в связи с получением средств ниже расчетного объема дотации?,"Потери бюджета муниципального района (муниципального округа, городского округа, 
городского округа с внутригородским делением) в связи с получением средств по дополнительному 
нормативу отчислений от налога на доходы физических лиц ниже расчетного объема дотации",Бюджетный кодекс Российской Федерации.pdf,216
Какое решение выносится по результатам рассмотрения материалов камеральной налоговой проверки?,"Вынесение решения по результатам рассмотрения материалов налоговой 
проверки 
1.",Налоговый кодекс Российской Федерации.pdf,254
"Подлежат ли вычету суммы акциза, исчисленные по истечении 180 календарных дней с даты выпуска товаров в Калининградской области?","Вычетам подлежат суммы акциза, исчисленные по истечении 180 календарных дней с даты выпуска 
товаров в соответствии с таможенной процедурой выпуска для внутреннего потребления при завершении 
действия таможенной процедуры свободной таможенной зоны на территории Особой экономической зоны 
в Калининградской области после использования этих товаров для осуществления операций, признаваемых 
объектами налогообложения и подлежащих налогообложению в соответствии с настоящей главой.",Налоговый кодекс Российской Федерации.pdf,672
