question,answer,sources
Какие требования устанавливаются к составу и содержанию документации по удалению затонувшего имущества?,"Требования к составу и содержанию документации по удалению затонувшего имущества **устанавливаются федеральным органом исполнительной власти в области транспорта** по согласованию с федеральным органом исполнительной власти, осуществляющим функции по выработке государственной политики и нормативно-правовому регулированию в сфере изучения, использования, воспроизводства и охраны природных ресурсов (статья 112, пункт 2).","Data1_10_10859_index.pdf:page_8, Кодекс внутреннего водного транспорта Российской Федерации.pdf:page_34, Кодекс внутреннего водного транспорта Российской Федерации.pdf:page_67, Кодекс внутреннего водного транспорта Российской Федерации.pdf:page_69, Кодекс торгового мореплавания Российской Федерации.pdf:page_10, Кодекс торгового мореплавания Российской Федерации.pdf:page_120, Кодекс торгового мореплавания Российской Федерации.pdf:page_141, Кодекс торгового мореплавания Российской Федерации.pdf:page_39, Кодекс торгового мореплавания Российской Федерации.pdf:page_40, Кодекс торгового мореплавания Российской Федерации.pdf:page_45"
Какие основные показатели оценки офертов на строительство производственных объектов указаны в ГОСТ МДС 80-3.2000?,"В приведённом фрагменте **ГОССТРОЙ РОССИИ МДС 80-3.2000** прямо указаны следующие **основные показатели (критерии) балльной оценки** при строительстве (в т.ч. производственных) объектов:

- **Опыт сооружения аналогичных объектов / выполнения комплекса работ с требуемым уровнем качества**.  
- **Альтернативные предложения по ускорению выполнения работ** (сокращение сроков).  
- **Использование местных материальных ресурсов** (в частности, доля местных материалов местного производства).  
- **Привлечение местных трудовых ресурсов** (затраты труда местных рабочих).  
- Также в тексте перечислены показатели **технического уровня и гарантий** (как примерные группы, применяемые для оценки), в частности:
  - **уровень организации управления** процессами подготовки и реализации проектирования/строительства/работ, уровень квалификации персонала;
  - **технический уровень средств производства** (машины, механизмы, технологические процессы, средства контроля качества, оснащенность);
  - **технические и имущественные гарантии** (устранение дефектов/недоделок, компенсации, сроки ввода, воздействие на окружающую среду и т.п.);
  - **экологические требования**, охрана труда и пожарная безопасность — как условия, которые также могут оцениваться при оценке оферт.

Если требуется, могу выписать это в виде точного перечня строк так, как они встречаются в вашем фрагменте (с указанием формулировок).","Data1_10_10865_index.pdf:page_37, Data1_10_10865_index.pdf:page_44, Data1_10_10869_index.pdf:page_1, Data1_10_10869_index.pdf:page_2, Data1_10_10869_index.pdf:page_3, Data1_10_10869_index.pdf:page_4, Data1_10_10869_index.pdf:page_5, Data1_10_10869_index.pdf:page_6, Data1_10_10869_index.pdf:page_7, Data1_10_10869_index.pdf:page_8"
Какая сумма привлеченных денежных средств считается особо крупным размером?,"В предоставленном фрагменте есть формулировка про **особо крупный размер** для **финансовых операций и других сделок с денежными средствами или иным имуществом** (в контексте статей 174 и 174.1 УК РФ):

- **особо крупным размером** признаются операции/сделки **на сумму, превышающую 6 000 000 рублей**.","Административный кодекс Российской Федерации.pdf:page_13, Уголовный кодекс Российской Федерации.pdf:page_101, Уголовный кодекс Российской Федерации.pdf:page_103, Уголовный кодекс Российской Федерации.pdf:page_105, Уголовный кодекс Российской Федерации.pdf:page_123, Уголовный кодекс Российской Федерации.pdf:page_127, Уголовный кодекс Российской Федерации.pdf:page_128, Уголовный кодекс Российской Федерации.pdf:page_130, Уголовный кодекс Российской Федерации.pdf:page_86, Уголовный кодекс Российской Федерации.pdf:page_99"
Какие трассы и сооружения должны быть показаны на схемах инженерных сетей и слаботочных линий согласно ГОСТ МДС 11-7.2000?,"В приведённом фрагменте ГОСТ/МДС **11-7.2000** (раздел про систему нормативных документов в строительстве) **нет прямого требования**, какие именно **трассы и сооружения** должны быть показаны на **схемах инженерных сетей и слаботочных линий**.

**Частичный ответ есть из другого нормативного фрагмента в тексте (про съемку подземных сетей):**
там указано, что по отдельным видам подземных сетей съемке подлежат (в частности):
- по **канализации, водостоку, дренажу** — **оси трасс**, **колодцы**, **углы поворота**, **изломы в профиле**, **места присоединений и выпусков**;
- по **телефонным сетям** — **ось трассы**, **колодцы**, **распределительные шкафы**, **места ввода и подключений**;
- (также аналогично перечислены газо-, водо- и теплосети, и для силовых кабелей — ось кабелей, колодцы, тоннели и коллекторы и т.п.).

Но это требование относится к **съемке/обследованию подземных сетей**, а не прямо к **схемам инженерных сетей и слаботочных линий именно по МДС 11-7.2000**.

**Итог по вопросу:**  
нет в документах (в части, где прямо сказано именно для схем инженерных сетей и слаботочных линий согласно МДС 11-7.2000).","Data1_10_10865_index.pdf:page_13, Data1_10_10865_index.pdf:page_25, Data1_10_10865_index.pdf:page_30, Data1_10_10865_index.pdf:page_40, Data1_10_10865_index.pdf:page_6, Data1_11_11285_index.pdf:page_16, Data1_11_11285_index.pdf:page_64, Data1_11_11835_index.pdf:page_35, Data1_1_1904_index.pdf:page_1, Data1_1_1904_index.pdf:page_19"
Что влечет наложение административного штрафа на должностных лиц за нарушение порядка предоставления обеспечения исполнения обязательств по оплате энергоресурсов?,"В тексте указано, что за нарушение установленного порядка предоставления обеспечения исполнения обязательств по оплате электрической энергии (мощности), газа, тепловой энергии (мощности) и (или) теплоносителя, сопряженное с неисполнением (ненадлежащим исполнением) обязательств по их оплате, **влечет наложение административного штрафа на должностных лиц в размере от двадцати тысяч до четырехсот тысяч рублей**.","Административный кодекс Российской Федерации.pdf:page_143, Административный кодекс Российской Федерации.pdf:page_144, Административный кодекс Российской Федерации.pdf:page_145, Административный кодекс Российской Федерации.pdf:page_147, Административный кодекс Российской Федерации.pdf:page_149, Административный кодекс Российской Федерации.pdf:page_150, Административный кодекс Российской Федерации.pdf:page_301, Административный кодекс Российской Федерации.pdf:page_310, Административный кодекс Российской Федерации.pdf:page_315, Административный кодекс Российской Федерации.pdf:page_86"
Какие требования предъявляются к прочности закрепленных грунтов при однорастворной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты согласно ГОСТ (к СНиП 3.02.01-83)?,"В приведённом тексте указано, что при **однорастворной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты (кислая среда)** применяются следующие **экстремальные и средние значения прочности при одноосном сжатии**:

**0,5 – 10 МПа**.

Других требований к прочности (по конкретному ГОСТ в смысле норматива или условий по ГОСТ/СНиП) в представленном фрагменте **нет**.","Data1_11_11295_index.pdf:page_14, Data1_11_11295_index.pdf:page_16, Data1_11_11295_index.pdf:page_17, Data1_11_11295_index.pdf:page_29, Data1_11_11295_index.pdf:page_34, Data1_11_11295_index.pdf:page_47, Data1_11_11295_index.pdf:page_5, Data1_11_11295_index.pdf:page_6, Data1_11_11295_index.pdf:page_8, Data1_2_2079_index.pdf:page_17"
"Какова цель технического обслуживания и текущего ремонта зданий и сооружений, согласно статье 55.24, раздел 8?","В приведённом фрагменте **нет текста статьи 55.24, раздел 8**, поэтому сформулировать цель из неё **невозможно**.

Фактически в тексте есть только общее указание, что к основным работам относятся:
- **проведение периодических капитальных ремонтов**;
- **осуществление текущего ремонта и периодических осмотров** зданий и их элементов, инженерного оборудования и территорий домовладения,
а также **порядок и сроки подготовки зданий к эксплуатации в зимний период** и ответственность за сохранность.

Но **прямой ответ о цели именно “технического обслуживания и текущего ремонта” по статье 55.24, раздел 8 — отсутствует**.

**Ответ:** нет в документах.","Data1_10_10852_index.pdf:page_40, Data1_10_10861_index.pdf:page_4, Data1_1_1879_index.pdf:page_17, Data1_1_1879_index.pdf:page_19, Data1_1_1879_index.pdf:page_21, Data1_1_1879_index.pdf:page_22, Data1_1_1879_index.pdf:page_26, Data1_1_1879_index.pdf:page_27, Data1_1_1879_index.pdf:page_28, Data1_1_1879_index.pdf:page_31"
Что происходит с потерями бюджета в связи с получением средств ниже расчетного объема дотации?,"В приведённом фрагменте **нет информации** о том, что происходит с потерями бюджета (и как они компенсируются), если регион/муниципальное образование получает средства **ниже расчетного объёма дотации**.

Более того, в тексте упоминаются условия, при которых доля дотаций превышает определённые пороги (и следуют ограничения), а также определения и ограничения по дефициту и нецелевому использованию, но **прямого ответа про “потери бюджета” при недополучении дотации ниже расчётного объёма нет в документах**.","Бюджетный кодекс Российской Федерации.pdf:page_116, Бюджетный кодекс Российской Федерации.pdf:page_191, Бюджетный кодекс Российской Федерации.pdf:page_194, Бюджетный кодекс Российской Федерации.pdf:page_206, Бюджетный кодекс Российской Федерации.pdf:page_207, Бюджетный кодекс Российской Федерации.pdf:page_208, Бюджетный кодекс Российской Федерации.pdf:page_209, Бюджетный кодекс Российской Федерации.pdf:page_28, Бюджетный кодекс Российской Федерации.pdf:page_401, Бюджетный кодекс Российской Федерации.pdf:page_79"
Какое решение выносится по результатам рассмотрения материалов камеральной налоговой проверки?,По результатам рассмотрения материалов камеральной налоговой проверки руководитель (заместитель руководителя) налогового органа выносит **решение о привлечении налогоплательщика к ответственности за совершение налогового правонарушения либо об отказе в привлечении налогоплательщика к ответственности**.,"Налоговый кодекс Российской Федерации.pdf:page_240, Налоговый кодекс Российской Федерации.pdf:page_244, Налоговый кодекс Российской Федерации.pdf:page_325, Налоговый кодекс Российской Федерации.pdf:page_326, Налоговый кодекс Российской Федерации.pdf:page_533, Налоговый кодекс Российской Федерации.pdf:page_541, Налоговый кодекс Российской Федерации.pdf:page_542, Налоговый кодекс Российской Федерации.pdf:page_706, Налоговый кодекс Российской Федерации.pdf:page_710, Налоговый кодекс Российской Федерации.pdf:page_712"
"Подлежат ли вычету суммы акциза, исчисленные по истечении 180 календарных дней с даты выпуска товаров в Калининградской области?","Да, подлежат.

В тексте указано: **«Вычетам подлежат суммы акциза, исчисленные по истечении 180 календарных дней с даты выпуска товаров… при завершении действия таможенной процедуры свободной таможенной зоны на территории Особой экономической зоны в Калининградской области…»**.","Налоговый кодекс Российской Федерации.pdf:page_514, Налоговый кодекс Российской Федерации.pdf:page_516, Налоговый кодекс Российской Федерации.pdf:page_604, Налоговый кодекс Российской Федерации.pdf:page_607, Налоговый кодекс Российской Федерации.pdf:page_660, Налоговый кодекс Российской Федерации.pdf:page_672, Налоговый кодекс Российской Федерации.pdf:page_683, Налоговый кодекс Российской Федерации.pdf:page_688, Налоговый кодекс Российской Федерации.pdf:page_704, Таможенный кодекс Евразийского экономического союза.pdf:page_204"
