question,answer,document
Какие требования устанавливаются к составу и содержанию документации по удалению затонувшего имущества?," Недостаточно данных в нормативной базе, чтобы ответить на вопрос о требованиях к составу и содержанию документации по удалению затонувшего имущества.","['Административный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Уголовно-процессуальный кодекс Российской Федерации']"
Какие основные показатели оценки офертов на строительство производственных объектов указаны в ГОСТ МДС 80-3.2000?," В ГОСТ МДС 80-3.2000 нет явных отсылок к оценке оферт на строительство производственных объектов. Это документ касается стандарта по методам сметного нормирования, а не ценообразованию для конкретной заявки или оферты. Поэтому невозможно ответить на вопрос, так как в тексте документа нет данных, которые могли бы послужить основанием для указания основных показателей оценки офертов на строительство производственных объектов.","['Трудовой кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
Какая сумма привлеченных денежных средств считается особо крупным размером?," В контексте предоставленного законодательства, суммой особо крупным размером привлеченных денежных средств считается та, которая превышает тридцать миллионов рублей за период в пределах трех финансовых лет подряд.","['Административный кодекс Российской Федерации', 'Уголовный кодекс Российской Федерации']"
Что влечет наложение административного штрафа на должностных лиц за нарушение порядка предоставления обеспечения исполнения обязательств по оплате энергоресурсов?, Наложение административного штрафа на должностных лиц за нарушение порядка предоставления обеспечения исполнения обязательств по оплате энергоресурсов влечет штраф размером от сорока тысяч до ста тысяч рублей или дисквалификацию на срок от двух до трех лет.,['Административный кодекс Российской Федерации']
Какие требования предъявляются к прочности закрепленных грунтов при однорастворной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты согласно ГОСТ (к СНиП 3.02.01-83)?, Недостаточно данных в нормативной базе,"['Гражданский кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
"Какова цель технического обслуживания и текущего ремонта зданий и сооружений, согласно статье 55.24, раздел 8?"," ""Под надлежащим техническим состоянием зданий, сооружений понимаются поддержание параметров устойчивости, надежности зданий, сооружений, а также исправность строительных конструкций, систем инженерно-технического обеспечения, сетей инженерно-технического обеспечения, их элементов в соответствии с требованиями технических регламентов, проектной документации. Цель технического обслуживания и текущего ремонта зданий и сооружений - обеспечение надлежащего технического состояния таких зданий, сооружений.""","['Трудовой кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации']"
Что происходит с потерями бюджета в связи с получением средств ниже расчетного объема дотации?," ""Недостаточно данных в нормативной базе""","['Жилищный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации', 'Трудовой кодекс Российской Федерации', 'Налоговый кодекс Российской Федерации', 'Гражданский процессуальный кодекс Российской Федерации']"
"Что означает ""особыми условиями"" в контексте сдачи в аренду земельных участков и других обособленных природных объектов?"," ""Особыми условиями"" в контексте сдачи в аренду земельных участков и других обособленных природных объектов означают особенности, которые могут быть установлены законом для тех случаев, когда сдача в арендную платежную собственность таких объектов имеет особые требования или ограничения. Примером может служить статья 428 Гражданского кодекса России, устанавливающая, что для земельных участков и других природных объектов могут быть установлены особенности сдачи в аренду.","['Налоговый кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какие меры наказания за нарушение соглашения о недопущении конкуренции указаны в ГОСТ МДС 80-2.2000?, Недостаточно данных в нормативной базе для ответа на вопрос о мерях наказания за нарушение соглашения о недопущении конкуренции указанных в ГОСТ МДС 80-2.2000.,"['Жилищный кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Уголовный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
"Какие органы имеют право рассматривать дела об административных правонарушениях, предусмотренных статьей 15.12.1 КоАП РФ?"," Федеральные органы исполнительной власти, осуществляющие функции по контролю (надзору) в сфере обращения товаров, подлежащих маркировке средствами идентификации, с использованием государственной информационной системы мониторинга за оборотом товаров, подлежащих обязательной маркировке средствами идентификации.",['Административный кодекс Российской Федерации']
