question,answer,source,page
Какие требования устанавливаются к составу и содержанию документации по удалению затонувшего имущества?,"Требования к составу и содержанию документации по удалению затонувшего имущества, 
а также критерии оценки такой документации устанавливаются федеральным органом 
исполнительной власти в области транспорта по согласованию с федеральным органом 
исполнительной власти, осуществляющим функции по выработке государственной политики и 
нормативно-правовому регулированию в сфере изучения, использования, воспроизводства и 
охраны природных ресурсов.",Кодекс торгового мореплавания Российской Федерации.pdf,45
Какие основные показатели оценки офертов на строительство производственных объектов указаны в ГОСТ МДС 80-3.2000?,"В состав показателей для оценки коммерческой части оферт могут входить:
предложенная оферентом цена, предмета подрядных торгов (осуществления
строительства, выполнения комплекса работ, оказания услуг, поставки продукции) с
указанием, в какой валюте и на каком уровне (в ценах какого периода) рассчитана
предложенная цена;
предложенный оферентом метод учета при осуществлении расчетов за
выполненные работы последующих изменений уровня цен в связи с инфляцией,
изменением законодательства в области налоговой политики и по другим вопросам;
предложения оферента по условиям и порядку финансирования и кредитования
подрядных работ;
удельные стоимостные показатели по предмету торгов, если торг проводятся на
проектирование объекта или на проектирование и строительство объектов «под
ключ».",Data1_10_10869_index.pdf,2
Какая сумма привлеченных денежных средств считается особо крупным размером?,"Действия, предусмотренные частью 1 настоящей статьи, совершенные в особо крупном размере, - 
влекут наложение административного штрафа на юридических лиц в размере до стократной суммы 
денежных средств, стоимости ценных бумаг, иного имущества, услуг имущественного характера, иных 
имущественных прав, незаконно переданных или оказанных либо обещанных или предложенных от имени 
юридического лица, но не менее ста миллионов рублей с конфискацией денег, ценных бумаг, иного 
имущества или стоимости услуг имущественного характера, иных имущественных прав.",Административный кодекс Российской Федерации.pdf,423
Какие трассы и сооружения должны быть показаны на схемах инженерных сетей и слаботочных линий согласно ГОСТ МДС 11-7.2000?,"На схеме размещения магистральных инженерных сетей и сооружений и
использования подземного пространства должны быть показаны: существующие
сохраняемые, реконструируемые, ликвидируемые и новые трассы внемикрорайонных
сетей и сооружений водопровода, канализации, теплоснабжения, газоснабжения,
электроснабжения, телевидения, радио и телефона, места присоединения этих сетей к
городским магистральным линиям и сооружениям; размещение пунктов управления
системами инженерного оборудования; существующие и проектируемые крупные
подземные сооружения гражданского назначения.",Data1_1_1904_index.pdf,19
Что влечет наложение административного штрафа на должностных лиц за нарушение порядка предоставления обеспечения исполнения обязательств по оплате энергоресурсов?,"Заключение контракта по результатам определения поставщика (подрядчика, исполнителя) с 
нарушением объявленных условий определения поставщика (подрядчика, исполнителя) или условий 
исполнения контракта, предложенных лицом, с которым в соответствии с законодательством Российской 
Федерации о контрактной системе в сфере закупок заключается контракт, если такое нарушение привело к 
дополнительному расходованию средств соответствующих бюджетов бюджетной системы Российской 
Федерации или уменьшению количества поставляемых товаров, объема выполняемых работ, оказываемых 
услуг для обеспечения государственных и муниципальных нужд, - 
влечет наложение административного штрафа на должностных лиц, юридических лиц в размере 
двукратного размера дополнительно израсходованных средств соответствующих бюджетов бюджетной 
системы Российской Федерации или цен товаров, работ, услуг, количество, объем которых уменьшены и 
которые явились предметом административного правонарушения.",Административный кодекс Российской Федерации.pdf,99
Какие требования предъявляются к прочности закрепленных грунтов при однорастворной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты согласно ГОСТ (к СНиП 3.02.01-83)?,"Наименование способов и исходных
реагентов
Реакция среды
закрепляющих
реагентов
Область применения
Экстремальные и средние
значения прочности при
одноосном сжатии, МПа
Номенклатура и некоторые
характеристики грунтов
Коэффициент
фильтрации
грунтов, м/сут
Однорастворная 
двухкомпонентная
силикатизация на основе раствора силиката
натрия и ортофосфорной кислоты
Кислая
Пески средней крупности, мелкие и
пылеватые
0,5 - 10
(0,2 - 0,5)/0,35
Однорастворная 
двухкомпонентная
силикатизация на основе раствора силиката
натрия и алюмината натрия
Щелочная
Пески средней крупности, мелкие и
пылеватые, 
в 
том 
числе
карбонатные
0,5 - 10
(0,2 - 0,3)/0,25
Однорастворная 
двухкомпонентная
смолизация 
на 
основе 
растворов
карбамидных смол марок М, М-2, М-3,
МФ-17 и соляной кислоты
Кислая
Пески всех видов - от гравелистых
до пылеватых, кроме карбонатных
0,5 - 50
(2 - 8)/5
Однорастворная 
двухкомпонентная
смолизация 
на 
основе 
растворов
карбамидных смол марок М, М-2, М-3 и
МФ-17 и щавелевой кислоты
»
Пески всех видов - от гравелистых
до 
пылеватых, 
в 
том 
числе
некоторые карбонатные, согласно
результатам 
специальных
исследований
0,5 - 50
(2 - 8)/5
Цементация
Щелочная
Пустоты, полости в грунтах всех
видов.",Data1_11_11295_index.pdf,5
"Какова цель технического обслуживания и текущего ремонта зданий и сооружений, согласно статье 55.24, раздел 8?","Отклонение параметров объекта капитального строительства от проектной документации, 
необходимость которого выявилась в процессе строительства, реконструкции, капитального ремонта 
такого объекта, допускается только на основании вновь утвержденной застройщиком, техническим 
заказчиком, лицом, ответственным за эксплуатацию здания, сооружения, или региональным оператором 
проектной документации после внесения в нее соответствующих изменений в соответствии с настоящим 
Кодексом, в том числе в порядке, предусмотренном частями 3.8 и 3.9 статьи 49 настоящего Кодекса.",Градостроительный кодекс Российской Федерации.pdf,167
Что происходит с потерями бюджета в связи с получением средств ниже расчетного объема дотации?,"Потери бюджета городского, сельского поселения, внутригородского района в связи с 
получением средств по дополнительному нормативу отчислений от налога на доходы физических 
лиц ниже расчетного объема дотации на выравнивание бюджетной обеспеченности поселений 
(внутригородских районов) (части расчетного объема дотации) компенсации из бюджета субъекта 
Российской Федерации и (или) учету при последующем распределении межбюджетных 
трансфертов местным бюджетам не подлежат.",Бюджетный кодекс Российской Федерации.pdf,211
Какое решение выносится по результатам рассмотрения материалов камеральной налоговой проверки?,"По результатам рассмотрения материалов камеральной налоговой проверки руководитель (заместитель 
руководителя) налогового органа выносит решение о привлечении налогоплательщика к ответственности за 
совершение налогового правонарушения либо об отказе в привлечении налогоплательщика к 
ответственности за совершение налогового правонарушения.",Налоговый кодекс Российской Федерации.pdf,533
"Подлежат ли вычету суммы акциза, исчисленные по истечении 180 календарных дней с даты выпуска товаров в Калининградской области?","При переходе налогоплательщика на специальные налоговые режимы либо при начале использования 
налогоплательщиком права на освобождение, предусмотренное статьей 145 настоящего Кодекса, суммы 
налога, исчисленные при выпуске товаров в соответствии с таможенной процедурой выпуска для 
внутреннего потребления при завершении действия таможенной процедуры свободной таможенной зоны 
на территории Особой экономической зоны в Калининградской области, подлежат уплате в порядке, 
установленном абзацем первым пункта 1 статьи 174 настоящего Кодекса, за налоговый период, на который 
приходится последний календарный день до даты перехода на специальные налоговые режимы, либо за 
налоговый период, на который приходится последний календарный день до начала использования 
налогоплательщиком права на освобождение, предусмотренное статьей 145 настоящего Кодекса, в части 
товаров, не использованных для осуществления операций, признаваемых объектами налогообложения в 
соответствии с настоящей главой, без применения освобождения от налога, установленного настоящей 
главой.",Налоговый кодекс Российской Федерации.pdf,525
