question,answer
Какие требования устанавливаются к составу и содержанию документации по удалению затонувшего имущества?," Требования к составу и содержанию документации по удалению затонувшего имущества устанавливаются федеральным органом исполнительной власти в области транспорта по согласованию с федеральным органом исполнительной власти, осуществляющим функции по выработке государственной политики и нормативно-правовому регулированию в сфере изучения, использования, воспроизводства и охраны природных ресурсов."
Какие основные показатели оценки офертов на строительство производственных объектов указаны в ГОСТ МДС 80-3.2000?," Основные показатели оценки офертов на строительство производственных объектов в ГОСТ МДС 80-3.2000: цена предмета подрядных торгов с указанием уровня расчета, предложенный метод учета изменений уровня цен, предложения по условиям и порядку финансирования и кредитования подрядных работ, технические и имущественные гарантии предпредприятия."
Какая сумма привлеченных денежных средств считается особо крупным размером?, Особо крупный размер привлеченных денежных средств составляет пять миллионов рублей в соответствии с законодательством России.
Какие трассы и сооружения должны быть показаны на схемах инженерных сетей и слаботочных линий согласно ГОСТ МДС 11-7.2000?," На схемах инженерных сетей и слаботочных линий должны быть показаны трассы водоснабжения, канализации, ливневой канализации, теплоснабжения, газоснабжения, электроснабжения, наружного освещения, телефонизации, радиофикации и телевидения с их основными параметрами, размещение сооружений инженерного оборудования и дренажная сеть."
Что влечет наложение административного штрафа на должностных лиц за нарушение порядка предоставления обеспечения исполнения обязательств по оплате энергоресурсов?," Нарушение установленного порядка предоставления обеспечения исполнения обязательств по оплате электрической энергии, газа, тепловой энергии или теплоносителя сопряжено с неисполнением (ненадлежащим исполнением) обязательств по их оплате в соответствии с установленными договорами о предоставлении этих энергетических ресурсов - влечет наложение административного штрафа на должностных лиц в размере от 40 тысяч до 100 тысяч рублей."
Какие требования предъявляются к прочности закрепленных грунтов при однорастворной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты согласно ГОСТ (к СНиП 3.02.01-83)?," Для однорастворной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты требуется, что плотность закрепленных грунтов должна составлять от 0,4 до 1 г/см3."
"Какова цель технического обслуживания и текущего ремонта зданий и сооружений, согласно статье 55.24, раздел 8?"," Целью технического обслуживания и текущего ремонта зданий и сооружений, согласно статье 55.24, раздел 8, является обеспечение надлежащего технического состояния таких объектов в целях предотвращения их износа и устранения мелких повреждений и неисправностей."
Что происходит с потерями бюджета в связи с получением средств ниже расчетного объема дотации?," В случае потерь бюджета в связи с получением средств ниже расчетного объема дотации, компенсации из бюджета субъекта Российской Федерации и (или) учету при последующем распределении межбюджетных трансфертов местным бюджетам не подлежат."
Какое решение выносится по результатам рассмотрения материалов камеральной налоговой проверки?," Решения выносятся в соответствии со статьей 101 Кодекса РФ: либо о привлечении налогоплательщика к ответственности за совершение налогового правонарушения, либо об отказе в привлечении налогоплательщика к ответственности."
"Подлежат ли вычету суммы акциза, исчисленные по истечении 180 календарных дней с даты выпуска товаров в Калининградской области?"," Да, подлежат ли вычету суммы акциза, исчисленные по истечении 180 календарных дней с даты выпуска товаров в Калининградской области — да. Это упоминается в пункте 26 статьи 25 на сайте https://nkodeksrf.ru/."
"Что означает ""особыми условиями"" в контексте сдачи в аренду земельных участков и других обособленных природных объектов?"," ""Особыми условиями"" в контексте сдачи в аренду земельных участков и других обособленных природных объектов могут быть установлены особенности, ограничения или условия, которые регламентируют способ использования данного земельного участка или природного объекта. Это может касаться вопросов охраны окружающей среды, безопасности транспорта, энергетики, обороны страны и так далее."
Какие основные положения генеральной схемы расселения учитываются на последующих стадиях градостроительного проектирования? (ГОСТ МДС 11-7.2000)," Генеральные положения расселения учитываются при осуществлении регулирования деятельности в области расселения, территориальной организации производительных сил и градостроительной деятельности в границах проектируемого региона."
